index,id,breed,Breed_1,age,status,size,Size_1,fixed,house_trained,special,current,children,dog,Size_2,status1,dogs
24783,42353067,1,0,1,1,1,1,1,0,0,1,1,1,1,1,14
24784,42321842,0,0,1,1,1,1,1,1,0,1,1,1,0,1,5
24785,42313496,1,0,1,1,1,1,1,0,0,1,1,1,1,1,30
24786,42297437,1,0,1,1,1,1,1,1,0,1,1,1,1,1,7
24787,42292904,1,0,1,1,1,1,1,1,0,1,1,1,1,1,14
24788,42279852,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
24789,42274940,0,0,1,1,1,1,1,0,1,1,1,1,1,1,21
24790,42258621,1,0,1,1,1,1,1,0,0,0,1,1,0,1,28
24791,42255342,0,0,0,1,1,1,1,1,0,0,0,0,1,1,13
24792,42207863,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3
24793,42198194,0,0,0,1,1,1,1,1,0,1,0,0,0,1,18
24794,42172926,0,0,1,1,1,1,1,1,0,1,1,1,1,1,4
24795,42167756,0,0,1,1,1,1,1,1,0,1,1,1,1,1,30
24796,42123357,0,0,1,1,1,1,1,0,0,0,1,1,1,1,2
24797,42057697,1,0,0,1,1,1,1,0,0,1,0,0,0,1,12
24798,42015557,1,0,1,1,1,1,1,1,0,1,1,0,0,1,27
24799,42014218,0,0,1,1,1,1,1,0,0,1,1,1,1,1,6
24800,42004214,1,0,0,1,1,1,1,1,0,1,0,0,0,1,6
24801,41973965,1,0,1,1,1,1,1,0,0,1,1,1,1,1,9
24802,41962278,1,0,1,1,1,1,1,1,1,1,1,1,0,1,17
24803,41923892,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
24804,41912443,0,0,1,1,1,1,1,0,0,1,1,1,1,1,16
24805,41831803,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
24806,41807502,0,0,0,1,1,1,1,0,0,1,0,1,0,1,20
24807,41805605,0,0,1,1,1,1,1,0,0,1,1,0,1,1,12
24808,41800964,1,0,1,1,1,1,1,1,0,1,1,0,1,1,23
24809,41790549,1,0,1,1,1,1,1,1,0,1,1,1,1,1,9
24810,41784073,1,0,1,1,1,1,0,0,1,1,1,1,1,1,24
24811,41781658,0,0,1,1,1,1,1,1,0,1,1,1,0,1,28
24812,41781628,0,0,1,1,1,1,1,1,0,1,1,1,0,1,15
24813,41682615,1,0,1,1,1,1,1,0,1,1,1,1,1,1,18
24814,41681241,0,0,1,1,1,1,0,0,0,0,1,1,1,1,19
24815,41668692,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4
